evidence_id,artifact_class,path,sha256,claim_state,limitations
EVID-SAFETY-001,claim_discipline,docs/02_claim_discipline.md,21d778dd16c3e980e5232a73b4b54b09686021576b519c0bc942e806e7efe21c,defensive_recommendation,Sanitized public evidence.
EVID-LEDGER-001,traceability,docs/00_buildout_traceability.md,6196d601092548167b98b9c69f9a5940b16c2cb1310b9bcc816e60a3e19c852e,defensive_recommendation,Sanitized public evidence.
EVID-SYNTH-BASELINE,synthetic_trace,aegis-sma-lab/traces/synthetic_baseline_trace.jsonl,10d803bba3ab76e434c2753c86a5ed3cb463df5457e55295da0a215817a28da7,synthetic_dynamic_observed,Sanitized public evidence.
EVID-SYNTH-MITIGATED,synthetic_trace,aegis-sma-lab/traces/synthetic_mitigated_trace.jsonl,44099d1adc87b61431cec63c78d482ed2cc652752cc3c844e41c6e626773da7b,synthetic_dynamic_observed,Sanitized public evidence.
EVID-SOTA-001,sota_packet,sota/comparison_summary.md,f4d133147520c7ab2b5b28f0803876ee58c96e11b6d0961c13a9588131c2d590,defensive_recommendation,Sanitized public evidence.
EVID-SIGNAL_ANDROID_1043851-MANIFEST,target_manifest,targets/signal_android_1043851/target_manifest.json,a9a4e859ecb065d4e71fb295726b28d1a58d41bc1b152e33a81569d5e5a015ac,static_supported,Sanitized public evidence.
EVID-SIGNAL_ANDROID_1043851-STATIC,static_observation,targets/signal_android_1043851/static_summary.json,57b091ee6df9f23dcae43dcb8c3408f746f3f093512e43734a4bcfdec815f041,static_supported,Static observations are not vulnerability claims.
EVID-SIGNAL_ANDROID_1043851-DEP,dependency_snapshot,targets/signal_android_1043851/dependency_snapshot.json,f2c40ee3e5b30f86a72e58376759275bf80ce693c9c0efda65fbe5dca995795a,static_supported,Sanitized public evidence.
EVID-ELEMENTX_ANDROID_91D265E6-MANIFEST,target_manifest,targets/elementx_android_91d265e6/target_manifest.json,5d3198e562864e284733265262da3044cbe513251a91252e2e0a55d0e222af60,static_supported,Sanitized public evidence.
EVID-ELEMENTX_ANDROID_91D265E6-STATIC,static_observation,targets/elementx_android_91d265e6/static_summary.json,701a3f3f4b4decfaa1cf4ebf6add046ec1952d1e3c5c7e52ad21e2f4eab756fd,static_supported,Static observations are not vulnerability claims.
EVID-ELEMENTX_ANDROID_91D265E6-DEP,dependency_snapshot,targets/elementx_android_91d265e6/dependency_snapshot.json,fa4f7872029ed444bf2dd23e773230f00328d07bb462206ed0e1bc25e96b40a3,static_supported,Sanitized public evidence.
